Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
vegetable lasagna,316,32.2,15.6,13.7,1000.0,4.3,5.5,Snack
spinach egg noodles cooked,211,38.8,8.1,2.5,68.0,3.7,0.6,Lunch
cheese lasagna,316,33.6,15.9,13.0,700.0,4.1,5.1,Dinner
pasta with tomato sauce,176,35.1,5.6,1.8,1000.0,2.3,0.4,Dinner
spinach pasta cooked,37,7.1,1.4,0.3,4.0,0.0,0.078,Breakfast
vegetable chicken soup,166,21.1,12.3,4.8,75.0,1.0,1.4,Dinner
bean ham soup,198,33.5,10.3,2.5,500.0,9.8,0.6,Breakfast
cream of chicken soup,227,18.0,6.0,14.5,1800.0,0.0,4.3,Dinner
tomato soup canned,139,22.6,6.3,3.3,500.0,1.5,1.8,Lunch
egg drop soup,65,10.3,2.8,1.5,900.0,1.0,0.4,Dinner
scotch broth,197,23.0,12.1,6.4,2100.0,3.0,2.7,Breakfast
cream of onion soup,268,31.7,6.7,12.8,1900.0,1.2,3.6,Breakfast
chicken broth dry,10,1.1,0.7,0.2,1200.0,0.0,0.055,Lunch
vegetable soup with beef broth,162,26.3,6.0,3.8,1300.0,3.2,0.9,Dinner
chili with beans canned,287,30.5,14.6,14.1,1300.0,11.3,6.0,Dinner
beef noodle soup,168,17.9,9.6,6.2,1600.0,1.5,2.3,Lunch
consomme dry,17,1.9,2.2,0.2,800.0,0.0,0.0,Dinner
chicken mushroom soup,126,15.1,2.0,6.1,800.0,4.0,1.6,Dinner
beef vegetable soup,120,15.4,8.0,2.9,800.0,3.0,1.0,Breakfast
black bean soup,234,39.6,12.4,3.4,2500.0,17.5,0.9,Dinner
split pea soup with ham bacon,189,28.6,11.6,3.1,1000.0,4.1,0.9,Dinner
cream of mushroom soup,199,17.1,3.4,13.4,1700.0,1.8,2.4,Lunch
green pea soup,320,51.7,16.7,5.7,1700.0,10.0,2.7,Lunch
chicken broth soup,78,1.9,11.1,2.6,1600.0,0.0,0.8,Snack
chicken mushroom chowder soup,431,38.3,16.2,23.7,1800.0,7.5,6.2,Breakfast
chicken dumplings soup,235,14.7,13.6,13.4,1800.0,1.2,3.2,Dinner
chicken vegetable soup,148,17.0,7.1,5.6,1700.0,1.7,1.7,Dinner
turkey vegetable soup,72,8.6,3.1,3.0,900.0,0.5,0.9,Snack
wonton soup,71,11.7,4.6,0.6,900.0,0.4,0.1,Dinner
beef stock,31,2.9,4.7,0.2,500.0,0.0,0.003,Breakfast
mushroom barley soup,186,29.3,4.6,5.5,1700.0,0.0,1.1,Snack
gazpacho soup,70,6.6,10.7,0.4,1100.0,0.7,0.008,Breakfast
beef mushroom soup,186,15.9,14.0,7.3,2200.0,0.6,3.7,Snack
chicken rice soup,127,13.0,12.3,3.2,900.0,1.0,1.0,Snack
pepperpot soup,100,9.1,6.2,4.5,900.0,0.5,2.0,Lunch
vegetable soup,149,24.6,4.3,4.0,1300.0,1.3,0.6,Breakfast
chili beef soup,308,49.6,13.4,6.7,2100.0,6.6,3.3,Dinner
chicken soup,174,16.9,12.4,6.5,900.0,1.5,1.9,Dinner
bean with frankfurters soup,188,22.0,10.0,7.0,1100.0,0.0,2.1,Breakfast
pea soup,161,25.6,8.3,2.8,15.0,4.9,1.4,Dinner
turkey soup,135,14.1,10.2,4.4,900.0,0.0,1.2,Dinner
stockpot soup,201,23.1,9.8,7.8,2100.0,0.0,1.7,Breakfast
hot sour soup,91,10.1,6.0,2.8,900.0,1.2,0.5,Snack
cheese soup,203,28.0,2.0,9.7,1700.0,5.5,6.1,Breakfast
cream of potato soup,186,32.2,3.8,4.7,1500.0,3.3,2.4,Snack
bean with bacon soup,106,16.4,5.5,2.1,900.0,9.0,1.0,Dinner
fish stock,40,0.0,5.3,1.9,400.0,0.0,0.5,Dinner
split pea soup with ham,381,56.2,20.7,8.9,1700.0,4.6,3.5,Dinner
beef broth soup,17,0.01,2.7,0.5,900.0,0.0,0.3,Lunch
lentil soup with ham,139,20.2,9.3,2.8,1300.0,0.0,1.1,Snack
tomato soup,98,22.5,2.2,0.7,600.0,1.6,0.2,Lunch
fish broth,39,1.0,4.9,1.5,500.0,0.0,0.3,Lunch
chili without beans canned,283,14.6,18.1,17.0,900.0,0.0,5.4,Breakfast
minestrone soup,167,22.6,8.6,5.0,1300.0,2.0,1.1,Lunch
clam chowder soup,154,24.5,4.4,4.4,1800.0,3.0,0.8,Breakfast
tomato vegetable soup,54,9.9,1.9,0.8,300.0,0.7,0.4,Breakfast
cream of rice coup,127,28.1,2.2,0.2,400.0,0.2,0.07,Lunch
cream of celery soup,181,17.7,3.3,11.2,1300.0,1.5,2.8,Snack
chicken gravy,188,12.9,4.6,13.6,1000.0,1.0,3.4,Snack
tomato rice soup,240,44.1,4.2,5.5,1600.0,3.4,1.0,Snack
vegetable beef soup,128,9.6,18.1,2.0,1100.0,4.4,0.6,Snack
tomato beef noodle soup,281,42.3,8.9,8.6,1800.0,3.0,3.2,Snack
oyster stew soup,118,8.2,4.2,7.7,1800.0,0.0,5.0,Lunch
ramen noodle soup dry,371,53.9,8.9,13.3,1700.0,2.0,6.4,Lunch
